127.0.0.1, 2017-05-22 17:55:22, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.023582
127.0.0.1, 2017-05-22 17:55:30, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.039745
127.0.0.1, 2017-05-22 17:55:45, POST, /welcome/default/user/register, HTTP/1.1, 303, 0.150440
127.0.0.1, 2017-05-22 17:55:45, GET, /welcome/default/index, HTTP/1.1, 200, 0.035116
127.0.0.1, 2017-05-22 17:55:50, GET, /admin/default/design/welcome, HTTP/1.1, 303, 0.148751
127.0.0.1, 2017-05-22 17:55:50, GET, /admin/default/index, HTTP/1.1, 200, 0.088199
127.0.0.1, 2017-05-22 17:55:50, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.000486
127.0.0.1, 2017-05-22 17:55:50, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.000690
127.0.0.1, 2017-05-22 17:55:50, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.001315
127.0.0.1, 2017-05-22 17:55:50, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000421
127.0.0.1, 2017-05-22 17:55:50, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.000408
127.0.0.1, 2017-05-22 17:55:50, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.002745
127.0.0.1, 2017-05-22 17:55:50, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000390
127.0.0.1, 2017-05-22 17:55:50, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.000469
127.0.0.1, 2017-05-22 17:55:50, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000438
127.0.0.1, 2017-05-22 17:55:50, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000962
127.0.0.1, 2017-05-22 17:55:50, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000558
127.0.0.1, 2017-05-22 17:55:50, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000993
127.0.0.1, 2017-05-22 17:55:50, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.000448
127.0.0.1, 2017-05-22 17:55:50, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.000615
127.0.0.1, 2017-05-22 17:55:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000289
127.0.0.1, 2017-05-22 17:55:57, POST, /admin/default/index, HTTP/1.1, 200, 1.090092
127.0.0.1, 2017-05-22 17:55:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000341
127.0.0.1, 2017-05-22 17:56:05, POST, /admin/default/index, HTTP/1.1, 200, 2.052047
127.0.0.1, 2017-05-22 17:56:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000294
127.0.0.1, 2017-05-22 17:56:11, POST, /admin/default/index, HTTP/1.1, 200, 4.063425
127.0.0.1, 2017-05-22 17:56:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000305
127.0.0.1, 2017-05-22 17:56:18, GET, /admin/default/index, HTTP/1.1, 200, 0.049803
127.0.0.1, 2017-05-22 17:56:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000304
127.0.0.1, 2017-05-22 17:56:28, GET, /, HTTP/1.1, 303, 0.000815
127.0.0.1, 2017-05-22 17:56:28, GET, /welcome/default/index, HTTP/1.1, 200, 0.035482
127.0.0.1, 2017-05-22 17:56:30, GET, /admin/default/site, HTTP/1.1, 303, 0.009164
127.0.0.1, 2017-05-22 17:56:30, GET, /admin/default/index, HTTP/1.1, 200, 0.045442
127.0.0.1, 2017-05-22 17:56:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000259
