::1, 2017-05-31 21:15:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000706
::1, 2017-05-31 21:15:48, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.054612
::1, 2017-05-31 21:15:51, GET, /Corpus/default/other, HTTP/1.1, 500, 1.715028
::1, 2017-05-31 21:15:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000660
::1, 2017-05-31 21:15:55, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.065014
::1, 2017-05-31 21:15:58, GET, /Corpus/default/other, HTTP/1.1, 200, 1.781900
::1, 2017-05-31 21:15:59, GET, /Corpus/static/images/favicon.ico, HTTP/1.1, 200, 0.001178
::1, 2017-05-31 21:16:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.129962
::1, 2017-05-31 21:16:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.938536
::1, 2017-05-31 21:16:19, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.064565
::1, 2017-05-31 21:16:23, GET, /Corpus/default/other, HTTP/1.1, 500, 1.834413
::1, 2017-05-31 21:16:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000853
::1, 2017-05-31 21:16:27, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.054204
::1, 2017-05-31 21:16:31, GET, /Corpus/default/other, HTTP/1.1, 200, 1.747795
::1, 2017-05-31 21:16:31, GET, /Corpus/static/images/favicon.ico, HTTP/1.1, 200, 0.000788
::1, 2017-05-31 21:16:56, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.090761
::1, 2017-05-31 21:16:59, GET, /Corpus/default/other, HTTP/1.1, 200, 1.833620
::1, 2017-05-31 21:16:59, GET, /Corpus/static/images/favicon.ico, HTTP/1.1, 200, 0.001044
::1, 2017-05-31 21:17:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.127232
::1, 2017-05-31 21:17:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.941308
::1, 2017-05-31 21:18:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.110168
::1, 2017-05-31 21:18:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.943296
::1, 2017-05-31 21:18:35, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.052186
::1, 2017-05-31 21:18:38, GET, /Corpus/default/other, HTTP/1.1, 200, 1.790375
::1, 2017-05-31 21:18:39, GET, /Corpus/static/images/favicon.ico, HTTP/1.1, 200, 0.000739
::1, 2017-05-31 21:18:51, GET, /admin/default/edit/Corpus/views/default/btn1.html, HTTP/1.1, 200, 0.125367
::1, 2017-05-31 21:18:51, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.024774
::1, 2017-05-31 21:19:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.150603
::1, 2017-05-31 21:19:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 1.036766
::1, 2017-05-31 21:19:11, GET, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.070442
::1, 2017-05-31 21:19:27, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.068196
::1, 2017-05-31 21:19:31, GET, /Corpus/default/other, HTTP/1.1, 200, 1.807320
::1, 2017-05-31 21:19:32, GET, /Corpus/static/images/favicon.ico, HTTP/1.1, 200, 0.001140
::1, 2017-05-31 21:19:47, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.055325
::1, 2017-05-31 21:19:49, GET, /Corpus/default/other, HTTP/1.1, 200, 1.621336
::1, 2017-05-31 21:19:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000874
::1, 2017-05-31 21:20:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.132970
::1, 2017-05-31 21:20:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 1.039139
::1, 2017-05-31 21:20:13, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.053962
::1, 2017-05-31 21:20:17, GET, /Corpus/default/other, HTTP/1.1, 200, 1.875669
::1, 2017-05-31 21:20:17, GET, /Corpus/static/images/favicon.ico, HTTP/1.1, 200, 0.001171
::1, 2017-05-31 21:20:48, GET, /admin/default/edit/Corpus/views/default/user.html, HTTP/1.1, 200, 0.112541
::1, 2017-05-31 21:20:48, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.023482
::1, 2017-05-31 21:21:02, POST, /admin/default/create_file, HTTP/1.1, 200, 0.071231
::1, 2017-05-31 21:21:02, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.167006
::1, 2017-05-31 21:21:02, GET, /admin/default/edit/Corpus/views/other.html, HTTP/1.1, 200, 0.236248
::1, 2017-05-31 21:21:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.240221
::1, 2017-05-31 21:21:02, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.039372
::1, 2017-05-31 21:21:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 1.029753
